,coint pv
1332 JT & 2282 JT,0.0009276225414420892
1332 JT & 3893 JT,0.017097791980162824
1332 JT & 7269 JT,0.014041119495448298
1332 JT & 9202 JT,0.04021022618318859
1333 JT & 1925 JT,0.040462969555017894
1333 JT & 1928 JT,0.023376134581045812
1333 JT & 2002 JT,0.022587264073603647
1333 JT & 2269 JT,0.028388969821394217
1333 JT & 2282 JT,0.048942442483756766
1333 JT & 2502 JT,0.012198016706656501
1333 JT & 2801 JT,0.01751427163178147
1333 JT & 2871 JT,0.028354556056817456
1333 JT & 3105 JT,0.0026137753138982586
1333 JT & 3402 JT,0.013516455322408381
1333 JT & 3405 JT,0.012620669840202959
1333 JT & 3407 JT,0.02213259150481292
1333 JT & 4005 JT,0.021798993555186632
1333 JT & 4042 JT,0.042463732817533434
1333 JT & 4061 JT,0.0024911290901217585
1333 JT & 4063 JT,0.03686883324184717
1333 JT & 4272 JT,0.03550589657942158
1333 JT & 4324 JT,0.0007593907216429357
1333 JT & 4452 JT,0.03509011728509371
1333 JT & 4507 JT,0.03636748024151076
1333 JT & 4523 JT,0.023414221692935024
1333 JT & 5108 JT,0.03160287585751341
1333 JT & 5406 JT,0.01601803812147783
1333 JT & 5411 JT,0.009244734225984154
1333 JT & 5711 JT,0.009271837976578613
1333 JT & 5713 JT,0.011822730568487455
1333 JT & 6305 JT,0.04456478092348649
1333 JT & 6367 JT,0.0044063679039718215
1333 JT & 6473 JT,0.010627195476872867
1333 JT & 6762 JT,0.03826797638174504
1333 JT & 6767 JT,0.02646676547701254
1333 JT & 6770 JT,0.04339758407900839
1333 JT & 6971 JT,0.03743782280755921
1333 JT & 7203 JT,0.027769686591261156
1333 JT & 7269 JT,0.04904135937787461
1333 JT & 7751 JT,0.0032764721107806706
1333 JT & 7951 JT,0.039152428095697224
1333 JT & 8035 JT,0.0007495882857438123
1333 JT & 8725 JT,0.02434116068360986
1333 JT & 9008 JT,0.019444143418078465
1333 JT & 9009 JT,0.02658088549978145
1333 JT & 9020 JT,0.0483542566459039
1333 JT & 9021 JT,0.04621005368762128
1333 JT & 9022 JT,0.021397735606834133
1333 JT & 9062 JT,0.03852536113619829
1333 JT & 9101 JT,0.026180279276265036
1333 JT & 9107 JT,0.03680518502650721
1333 JT & 9202 JT,0.0018429955111170843
1333 JT & 9301 JT,0.04064551033410079
1334 JT & 1605 JT,0.023032976591956966
1334 JT & 2914 JT,0.018126722461348353
1334 JT & 3086 JT,0.012412173679553785
1334 JT & 3863 JT,0.04128215375110225
1334 JT & 4188 JT,0.024716768124152837
1334 JT & 8355 JT,0.04555784007951743
1334 JT & 9502 JT,0.032454937778053305
1334 JT & 9503 JT,0.02553107236881422
1334 JT & 9531 JT,0.04876912216197418
1605 JT & 5631 JT,0.007675947947501644
1605 JT & 7004 JT,0.010285174899607563
1721 JT & 3289 JT,0.04706920317453607
1721 JT & 3893 JT,0.0048548908008112105
1721 JT & 5631 JT,0.04404048068192435
1721 JT & 6702 JT,0.015703374453607023
1721 JT & 8031 JT,0.006276748107651483
1801 JT & 2502 JT,0.033234683591323866
1801 JT & 4183 JT,0.0265472045950154
1801 JT & 5703 JT,0.0022077375872033857
1801 JT & 6367 JT,0.03816569427420412
1801 JT & 6954 JT,0.01981950812175211
1801 JT & 7733 JT,0.046571755117686
1801 JT & 9437 JT,0.03119286588955367
1801 JT & 9735 JT,0.00649884955724616
1802 JT & 1803 JT,0.005645187043340528
1802 JT & 2502 JT,0.02570119331609727
1802 JT & 4519 JT,0.0287981889841118
1802 JT & 5703 JT,0.007058076372254701
1802 JT & 6479 JT,0.03092534594131204
1802 JT & 6952 JT,0.020999104789997076
1802 JT & 7269 JT,0.0229143992036081
1802 JT & 7733 JT,0.033144839320477924
1802 JT & 8031 JT,0.04299711601321683
1802 JT & 8058 JT,0.00257330102377231
1802 JT & 8304 JT,0.04595525987380849
1802 JT & 9202 JT,0.03306654536354384
1802 JT & 9432 JT,0.013108259458258557
1802 JT & 9437 JT,0.007828457675442137
1803 JT & 6952 JT,0.020495373419383706
1803 JT & 6954 JT,0.03476880239836313
1803 JT & 8031 JT,0.01359578395601342
1803 JT & 8058 JT,0.006547876991636649
1803 JT & 9432 JT,0.01375773031676317
1803 JT & 9437 JT,0.008991140064176433
1812 JT & 5703 JT,0.0072361429371773055
1812 JT & 8058 JT,0.021727650295484017
1812 JT & 9432 JT,0.03392665814357965
1925 JT & 2269 JT,0.04841955431120686
1925 JT & 2282 JT,0.03794655857865492
1925 JT & 2801 JT,0.04909644169914104
1925 JT & 2802 JT,0.04748443505195105
1925 JT & 3401 JT,0.020166621303641708
1925 JT & 6762 JT,0.03548985049826642
1925 JT & 6770 JT,0.046122972263113536
1925 JT & 7735 JT,0.026007255274846285
1925 JT & 7751 JT,0.013607360377645157
1925 JT & 8304 JT,0.03842019154251384
1925 JT & 8332 JT,0.023320821147077432
1925 JT & 8354 JT,0.02516763725890143
1925 JT & 9022 JT,0.028093214987984318
1925 JT & 9202 JT,0.029952894682047537
1925 JT & 9602 JT,0.010876687705536299
1928 JT & 3401 JT,0.03833412937990654
1928 JT & 3402 JT,0.044819029901860284
1928 JT & 4272 JT,0.02289923936286514
1928 JT & 5108 JT,0.01776147483461451
1928 JT & 5406 JT,0.04998288948305599
1928 JT & 6326 JT,0.01653460520027759
1928 JT & 7735 JT,0.006104235818267301
1928 JT & 8252 JT,0.048531531063573455
1928 JT & 8766 JT,0.046583929544202776
1928 JT & 9532 JT,0.034639654604826715
1928 JT & 9983 JT,0.0268979329027749
2002 JT & 2282 JT,0.030442925785186703
2002 JT & 3401 JT,0.03801164374129306
2002 JT & 4452 JT,0.0034025881166701182
2002 JT & 4523 JT,0.039058924653674824
2002 JT & 5631 JT,0.03909153135285906
2002 JT & 7751 JT,0.01295147939461479
2002 JT & 9202 JT,0.028936962944648575
2269 JT & 3401 JT,0.03244420938163891
2269 JT & 6762 JT,0.019382178061210308
2269 JT & 6770 JT,0.031173768154345267
2269 JT & 6954 JT,0.032551803699564875
2269 JT & 6988 JT,0.02446621335811195
2269 JT & 9202 JT,0.04857016340056938
2282 JT & 4452 JT,0.041222243834695
2282 JT & 4503 JT,0.026229443604977587
2282 JT & 7269 JT,3.290606240045905e-05
2501 JT & 3105 JT,0.033107645173404116
2501 JT & 3401 JT,0.024239465035881605
2501 JT & 3865 JT,0.02794488847776599
2501 JT & 6302 JT,0.048729112132402976
2501 JT & 6367 JT,0.021423815205561553
2501 JT & 6479 JT,0.011726411607753458
2501 JT & 6703 JT,0.024888756754575077
2501 JT & 6954 JT,0.004702478745350945
2501 JT & 6988 JT,0.033852091023886845
2501 JT & 7735 JT,0.021085030998141154
2501 JT & 7751 JT,0.04501066928233452
2501 JT & 8035 JT,0.01249897361896604
2501 JT & 8332 JT,0.03822568167311339
2501 JT & 8815 JT,0.033602551066130484
2501 JT & 9613 JT,0.017743952848671102
2502 JT & 3105 JT,0.0017862900630765193
2502 JT & 3401 JT,0.017743621075654525
2502 JT & 4021 JT,0.0020496356105558877
2502 JT & 4183 JT,0.008720021542821041
2502 JT & 4902 JT,0.030209187605946288
2502 JT & 5703 JT,0.03368641968636415
2502 JT & 6302 JT,0.03309740102846809
2502 JT & 6367 JT,0.04681614733205491
2502 JT & 6479 JT,0.012600072585986844
2502 JT & 6770 JT,0.01378456052896772
2502 JT & 6952 JT,0.017291620282721014
2502 JT & 6954 JT,0.0006358434026856488
2502 JT & 7013 JT,0.00981934630887129
2502 JT & 7269 JT,0.020419783347227254
2502 JT & 7733 JT,0.0020369031769869677
2502 JT & 8035 JT,0.017256183618310918
2502 JT & 8058 JT,0.045762304899109575
2502 JT & 8304 JT,0.009471585984322137
2502 JT & 9412 JT,0.003331699405532596
2502 JT & 9433 JT,0.02801567292558818
2502 JT & 9437 JT,0.0060494318795393754
2502 JT & 9735 JT,0.03489382939689605
2503 JT & 2871 JT,0.012978775963659537
2503 JT & 3086 JT,0.046305256375135245
2503 JT & 3105 JT,0.04429140645049725
2503 JT & 3110 JT,0.04457824473083318
2503 JT & 3401 JT,0.036138206677675325
2503 JT & 3405 JT,0.013624045536538886
2503 JT & 3436 JT,0.021647331159717623
2503 JT & 3865 JT,0.0308503686748342
2503 JT & 4004 JT,0.04773018430712768
2503 JT & 4183 JT,0.044741182985166
2503 JT & 4188 JT,0.034733895891222104
2503 JT & 4208 JT,0.016265762302886927
2503 JT & 5020 JT,0.03340594187111829
2503 JT & 5101 JT,0.03282834154290157
2503 JT & 5201 JT,0.0003011971634647367
2503 JT & 5202 JT,0.036621440903658924
2503 JT & 5214 JT,0.02277139866463277
2503 JT & 5232 JT,0.03540267499560644
2503 JT & 5301 JT,0.0443696611809699
2503 JT & 5333 JT,0.04881567679573926
2503 JT & 5541 JT,0.040940311010849155
2503 JT & 5631 JT,0.020967646948330972
2503 JT & 5707 JT,0.0366306584532035
2503 JT & 5713 JT,0.043162981396122214
2503 JT & 6301 JT,0.03042123045716263
2503 JT & 6302 JT,0.04184702863561522
2503 JT & 6305 JT,0.04668899200366419
2503 JT & 6366 JT,0.02723119519886117
2503 JT & 6479 JT,0.041054476601793025
2503 JT & 6701 JT,0.049844861532569625
2503 JT & 6702 JT,0.044198459548904875
2503 JT & 6762 JT,0.04579832126391797
2503 JT & 6770 JT,0.04540389035500178
2503 JT & 6773 JT,0.03802475122414315
2503 JT & 6857 JT,0.0011011942748528208
2503 JT & 6952 JT,0.04465730798349703
2503 JT & 6954 JT,0.036520966718940305
2503 JT & 6976 JT,0.010649257660068884
2503 JT & 7004 JT,0.03721629018785699
2503 JT & 7211 JT,0.035582836212396
2503 JT & 7269 JT,0.04132900445405338
2503 JT & 7731 JT,0.028102956671746653
2503 JT & 7735 JT,0.016499635617560387
2503 JT & 7751 JT,0.01798894498217548
2503 JT & 8031 JT,0.04065737823972104
2503 JT & 8233 JT,0.022447065975356242
2503 JT & 8252 JT,0.010903152747464805
2503 JT & 8253 JT,0.03836844605031085
2503 JT & 8270 JT,0.03495600263758361
2503 JT & 8304 JT,0.04584976515474735
2503 JT & 8729 JT,0.040590824424412274
2503 JT & 8803 JT,0.02005978327312136
2503 JT & 9007 JT,0.022493900472902686
2503 JT & 9501 JT,0.04248677160131105
2503 JT & 9502 JT,0.025449732356075474
2503 JT & 9503 JT,0.02314708553140089
2531 JT & 2802 JT,0.043531637274297603
2531 JT & 3401 JT,0.0463305363392253
2531 JT & 3893 JT,0.02994731561955447
2531 JT & 4208 JT,0.021587313931157395
2531 JT & 5201 JT,0.018009741244722682
2531 JT & 5301 JT,0.04357921465594789
2531 JT & 5713 JT,0.04283233965417597
2531 JT & 6479 JT,0.04071686140497597
2531 JT & 6701 JT,0.04289181906338901
2531 JT & 6702 JT,0.04836670044342371
2531 JT & 6753 JT,0.03764691164420336
2531 JT & 6770 JT,0.04170208802182992
2531 JT & 7267 JT,0.01390135066406432
2531 JT & 7731 JT,0.04569883751494583
2531 JT & 8253 JT,0.03495741830125423
2531 JT & 8267 JT,0.03925064748603746
2531 JT & 8303 JT,0.011121101434352373
2531 JT & 8604 JT,0.01858382017313117
2531 JT & 9104 JT,0.04053504467557277
2531 JT & 9766 JT,0.04311611894552387
2768 JT & 3101 JT,0.04087147249780935
2768 JT & 3861 JT,0.034823860937052746
2768 JT & 3863 JT,0.02293212123176584
2768 JT & 4043 JT,0.0035018496400552046
2768 JT & 5541 JT,0.04250072233495992
2768 JT & 5714 JT,0.02285427131981862
2768 JT & 5715 JT,0.0437579301348096
2768 JT & 5901 JT,0.04986380647813939
2768 JT & 8316 JT,0.020947246910052827
2768 JT & 8804 JT,0.03304601779807757
2768 JT & 8830 JT,0.036585762267952585
2768 JT & 9104 JT,0.00963421973365448
2768 JT & 9984 JT,0.0290412967418424
2801 JT & 3401 JT,0.001932487310112852
2801 JT & 4503 JT,0.0072486998183811345
2801 JT & 6762 JT,0.02765923608281469
2801 JT & 8035 JT,0.025902138475449338
2801 JT & 8815 JT,0.04461644964123334
2801 JT & 9202 JT,0.004456604016713652
2802 JT & 3401 JT,0.004467129448969079
2802 JT & 6762 JT,0.02760860283949377
2802 JT & 6988 JT,0.002327415448758626
2802 JT & 9202 JT,0.026574626516864496
2871 JT & 8252 JT,0.024078296609162417
2914 JT & 3103 JT,0.027812134324712145
2914 JT & 3863 JT,0.025983295727033614
2914 JT & 4151 JT,0.03744921557597343
2914 JT & 4183 JT,0.03339733710516729
2914 JT & 4188 JT,0.04605574148454258
2914 JT & 4208 JT,0.03828373675644338
2914 JT & 4506 JT,0.017973325063392553
2914 JT & 4704 JT,0.029928899502114907
2914 JT & 4911 JT,0.038714576285527325
2914 JT & 5020 JT,0.04579453528038713
2914 JT & 5201 JT,0.04638558089627458
2914 JT & 5214 JT,0.0020846941584716405
2914 JT & 5233 JT,0.03796842364096026
2914 JT & 5301 JT,0.03184119013005732
2914 JT & 5333 JT,0.03958312778965206
2914 JT & 5541 JT,0.04399559943960926
2914 JT & 5631 JT,0.03736391383754978
2914 JT & 5703 JT,0.03243630082516422
2914 JT & 5706 JT,0.04329992216756177
2914 JT & 5707 JT,0.04658446824947866
2914 JT & 5711 JT,0.038492456831378107
2914 JT & 5715 JT,0.03605964629424834
2914 JT & 6113 JT,0.02881478137583879
2914 JT & 6366 JT,0.041084881404038015
2914 JT & 6471 JT,0.0467316755308306
2914 JT & 6703 JT,0.03878345815130603
2914 JT & 6773 JT,0.04397316517294268
2914 JT & 6857 JT,0.0331165800655821
2914 JT & 6952 JT,0.044161695507979895
2914 JT & 6954 JT,0.038095243493831844
2914 JT & 6971 JT,0.0321717806881695
2914 JT & 7004 JT,0.032774222816045126
2914 JT & 7211 JT,0.04273545693544785
2914 JT & 7269 JT,0.038583614933758385
2914 JT & 7731 JT,0.04674961460105733
2914 JT & 7735 JT,0.035645999126785254
2914 JT & 8001 JT,0.024842375761419403
2914 JT & 8015 JT,0.002445939383442054
2914 JT & 8031 JT,0.04054325798392658
2914 JT & 8270 JT,0.026752255365936617
2914 JT & 8331 JT,0.033234530057288554
2914 JT & 8795 JT,0.044305424560068245
3086 JT & 3105 JT,0.032004518900840336
3086 JT & 3110 JT,0.037682330055986195
3086 JT & 3401 JT,0.03087120206753207
3086 JT & 3436 JT,0.01968674614300362
3086 JT & 3863 JT,0.006596670130956932
3086 JT & 3865 JT,0.014793609337308116
3086 JT & 4004 JT,0.03010009862923568
3086 JT & 4005 JT,0.04805201732584039
3086 JT & 4021 JT,0.04462373391839448
3086 JT & 4183 JT,0.027515108475444423
3086 JT & 4188 JT,0.031449432101084876
3086 JT & 4208 JT,0.018548080389553058
3086 JT & 4452 JT,0.04400016777678972
3086 JT & 4503 JT,0.03801504890800112
3086 JT & 4506 JT,0.04593113826361174
3086 JT & 4519 JT,0.031578241355578365
3086 JT & 4704 JT,0.03938901914533394
3086 JT & 4901 JT,0.037352550010846294
3086 JT & 4902 JT,0.028166892281878003
3086 JT & 5020 JT,0.016526889288513178
3086 JT & 5201 JT,0.026254780704063795
3086 JT & 5202 JT,0.0184199375705941
3086 JT & 5214 JT,0.047011955218113154
3086 JT & 5232 JT,0.02846215631884586
3086 JT & 5233 JT,0.03971159865964192
3086 JT & 5333 JT,0.027511238608289728
3086 JT & 5401 JT,0.046299032845807164
3086 JT & 5406 JT,0.04684087927625064
3086 JT & 5413 JT,0.02159478676860382
3086 JT & 5541 JT,0.01498096097229592
3086 JT & 5631 JT,0.04620986083877719
3086 JT & 5706 JT,0.03737361357493133
3086 JT & 5707 JT,0.0078983308735434
3086 JT & 5711 JT,0.005955926011505798
3086 JT & 5713 JT,0.016954298110827357
3086 JT & 5801 JT,0.04767821194834405
3086 JT & 5803 JT,0.041996008411130464
3086 JT & 5901 JT,0.033156348185581996
3086 JT & 6103 JT,0.04201776957950697
3086 JT & 6301 JT,0.019437632951513087
3086 JT & 6302 JT,0.026562227077021754
3086 JT & 6305 JT,0.025670873145213227
3086 JT & 6366 JT,0.01922948912715537
3086 JT & 6367 JT,0.039173789844997496
3086 JT & 6471 JT,0.044523440714249185
3086 JT & 6472 JT,0.03448919479923938
3086 JT & 6473 JT,0.037844538256013145
3086 JT & 6479 JT,0.02073867097420893
3086 JT & 6501 JT,0.04242034352978783
3086 JT & 6503 JT,0.04774420009233432
3086 JT & 6508 JT,0.032772007931746554
3086 JT & 6674 JT,0.04770196695521325
3086 JT & 6701 JT,0.015434599693685838
3086 JT & 6702 JT,0.014541370191851668
3086 JT & 6752 JT,0.044189807070724355
3086 JT & 6753 JT,0.008423193614555976
3086 JT & 6762 JT,0.026834858312156557
3086 JT & 6770 JT,0.026566056522870852
3086 JT & 6773 JT,0.01133490704318614
3086 JT & 6841 JT,0.03694031147193646
3086 JT & 6857 JT,0.012203917126889289
3086 JT & 6952 JT,0.022226352822186827
3086 JT & 6954 JT,0.03443325560565126
3086 JT & 6976 JT,0.015961862563119024
3086 JT & 7004 JT,0.005776607448085333
3086 JT & 7211 JT,0.02771223200091664
3086 JT & 7269 JT,0.021650601179619176
3086 JT & 7731 JT,0.039621194633213334
3086 JT & 7733 JT,0.04379031707896883
3086 JT & 7751 JT,0.025456382171470962
3086 JT & 7762 JT,0.045643734776420315
3086 JT & 8002 JT,0.033348155884268704
3086 JT & 8031 JT,0.01837475480134808
3086 JT & 8035 JT,0.028897603095227167
3086 JT & 8053 JT,0.026168548924282213
3086 JT & 8058 JT,0.02475738472791221
3086 JT & 8253 JT,0.04275263414824187
3086 JT & 8267 JT,0.026179240498886844
3086 JT & 8604 JT,0.011892054541884106
3086 JT & 8729 JT,0.02270968181790661
3086 JT & 8750 JT,0.04286867267030656
3086 JT & 8795 JT,0.04507360823753847
3086 JT & 8830 JT,0.0486456899843434
3086 JT & 9008 JT,0.04558324568777927
3086 JT & 9104 JT,0.01951870877446137
3086 JT & 9202 JT,0.03855471203706579
3086 JT & 9412 JT,0.04851128253220805
3086 JT & 9432 JT,0.047643035073054084
3086 JT & 9501 JT,0.0018421330489131937
3086 JT & 9502 JT,0.003257232141201117
3086 JT & 9503 JT,0.0068919003468419955
3086 JT & 9766 JT,0.04029853278251254
3099 JT & 3401 JT,0.03814300459513278
3099 JT & 3407 JT,0.04150571281922176
3099 JT & 3436 JT,0.02562940256980266
3099 JT & 4005 JT,0.03053000091651955
3099 JT & 4061 JT,0.03290965602032916
3099 JT & 4183 JT,0.04171106857810717
3099 JT & 4188 JT,0.009635397348505522
3099 JT & 4507 JT,0.03891538867816906
3099 JT & 4543 JT,0.031017637247611963
3099 JT & 4902 JT,0.04941833680816391
3099 JT & 5020 JT,0.02440522752440798
3099 JT & 5406 JT,0.027791866482034237
3099 JT & 5541 JT,0.033383458233010706
3099 JT & 5711 JT,0.01717483683083669
3099 JT & 6301 JT,0.04787266372890523
3099 JT & 6302 JT,0.03852772015517689
3099 JT & 6305 JT,0.03136601355800333
3099 JT & 6472 JT,0.019791495853498608
3099 JT & 6479 JT,0.049057562030100775
3099 JT & 6758 JT,0.0215713464137165
3099 JT & 6762 JT,0.03177760372156734
3099 JT & 6767 JT,0.023445664417870334
3099 JT & 6857 JT,0.03374920242966032
3099 JT & 6952 JT,0.048327758853534394
3099 JT & 6971 JT,0.004074982112894749
3099 JT & 7012 JT,0.04149006313221799
3099 JT & 7203 JT,0.041188850261425096
3099 JT & 7733 JT,0.02820868647319932
3099 JT & 7735 JT,0.00031691323404855977
3099 JT & 7762 JT,0.04143248349209687
3099 JT & 8058 JT,0.032169833430379276
3099 JT & 8306 JT,0.016287740313779393
3099 JT & 8815 JT,0.04200884388842195
3099 JT & 9020 JT,0.017439312412319163
3099 JT & 9064 JT,0.026791163895527367
3099 JT & 9101 JT,0.04564325252654898
3099 JT & 9502 JT,0.022838332457780153
3099 JT & 9503 JT,0.022815879248315043
3099 JT & 9613 JT,0.02712614763340822
3101 JT & 3103 JT,0.01684774645583748
3101 JT & 3110 JT,0.0007967030273836853
3101 JT & 3289 JT,0.0021832205075366503
3101 JT & 3405 JT,0.024100688364122113
3101 JT & 3436 JT,0.01953591889118857
3101 JT & 3861 JT,0.03766566514767995
3101 JT & 3865 JT,0.04985359136980925
3101 JT & 4043 JT,0.027701855502258173
3101 JT & 4063 JT,0.02680962421343409
3101 JT & 4208 JT,8.51615378379765e-05
3101 JT & 4272 JT,0.007384472853196818
3101 JT & 4689 JT,0.0458269549606671
3101 JT & 5232 JT,0.011236315136826379
3101 JT & 5233 JT,0.03793189258736706
3101 JT & 5301 JT,0.0186881050250897
3101 JT & 5413 JT,0.022404160933044478
3101 JT & 5541 JT,0.026088913863939762
3101 JT & 5631 JT,0.043030521226590665
3101 JT & 5707 JT,0.03245378605605648
3101 JT & 5901 JT,5.985394238911298e-06
3101 JT & 6301 JT,0.01567770828263948
3101 JT & 6366 JT,0.008568387607639368
3101 JT & 6701 JT,0.044663672483968776
3101 JT & 6753 JT,0.03904619708795546
3101 JT & 6773 JT,0.03369941833754351
3101 JT & 6841 JT,0.028766461385649353
3101 JT & 6857 JT,0.010063572069048968
3101 JT & 7004 JT,0.047495887107460416
3101 JT & 7201 JT,0.04672545858026577
3101 JT & 7211 JT,0.029720938016356013
